driverId,week,hours-logged,miles-logged
20,4,75,4000
539,35,68,400
967,16,53,1800
958,19,76,2200
738,21,76,3200
428,38,64,3700
178,20,73,1400
732,18,62,3600
183,2,51,2300
975,2,75,1500
910,3,71,1100
331,38,73,2800
597,31,58,3800
773,34,53,2600
314,35,69,700
24,32,66,3600
823,3,63,3200
21,21,54,3800
88,17,60,2300
132,7,55,3700
214,49,54,900
147,47,72,2000
718,14,50,2800
922,17,56,3300
654,29,64,1500
302,50,73,3500
879,1,72,2100
93,26,54,1000
151,22,72,3800
255,5,71,700
600,47,54,3600
110,51,54,700
940,20,77,1200
566,35,80,2600
747,45,54,2800
542,27,66,4000
654,30,70,1900
270,39,68,3500
65,17,58,1400
838,25,61,3500
254,35,77,2900
214,6,73,1600
630,20,56,2200
205,40,62,2300
486,51,75,3000
413,22,72,2100
194,52,72,2900
313,39,55,3200
202,41,76,600
908,21,71,200
29,30,53,100
165,52,66,2800
307,46,62,2000
78,47,55,1800
114,26,64,1100
198,38,68,1100
420,16,61,3900
45,48,80,1500
917,45,53,3600
747,5,79,300
669,23,58,3700
266,3,53,2900
24,24,53,1000
656,18,62,2600
366,35,68,2000
508,18,79,2700
87,30,54,3700
371,37,51,500
401,27,65,100
79,33,52,700
892,31,75,4000
857,28,52,3000
639,5,53,900
687,35,64,3700
265,15,72,2400
790,32,75,2200
599,51,78,0
399,24,79,3800
388,1,51,700
189,32,56,300
286,39,68,200
584,20,60,100
584,7,63,1300
709,38,62,2000
141,12,58,2400
975,15,56,1100
640,5,69,3500
655,42,72,1000
421,42,54,1500
957,22,53,500
329,12,50,1400
786,14,71,0
584,25,80,2200
514,2,52,1100
239,26,79,1500
504,8,54,1700
750,37,50,3300
970,44,63,1400
750,8,54,3200
997,14,53,700
876,41,70,1100
723,22,50,4000
782,46,61,1000
651,26,76,3600
458,9,63,300
917,50,58,3400
696,18,53,3000
722,28,50,400
41,52,66,700
622,20,71,1000
196,13,67,4000
733,33,75,2600
707,48,76,2100
570,13,57,1700
402,32,68,3300
277,8,77,4000
212,52,65,2100
207,13,54,2000
742,30,70,3500
573,33,79,0
451,3,57,500
520,31,64,700
771,37,56,1300
372,52,73,3800
380,20,56,3200
780,29,56,3800
171,35,66,3500
906,17,69,2100
517,24,56,2200
224,6,52,3200
294,34,74,1500
100,44,78,0
283,31,70,1900
176,6,52,3800
209,31,52,300
717,30,60,2600
244,31,72,2100
471,47,68,1200
26,30,72,1600
493,25,53,1900
26,11,59,1600
700,28,65,3100
65,38,66,3200
397,39,61,400
209,49,56,500
974,46,68,700
178,26,52,3500
721,12,67,3000
176,44,75,3800
537,30,61,2100
306,48,59,3800
108,45,63,3900
839,42,54,3900
569,16,75,1100
344,7,64,700
238,49,79,3900
636,24,63,3300
770,28,78,2900
128,28,60,2800
308,8,79,3600
186,15,67,1800
826,49,79,3700
619,19,65,3500
870,13,51,2900
465,43,63,3400
662,45,53,2600
495,7,61,3300
999,14,52,300
516,23,71,1900
466,49,71,0
87,48,65,900
227,40,64,1900
653,18,55,2300
274,41,66,100
800,23,60,0
348,14,78,2200
543,6,77,1300
281,14,53,2100
574,52,64,800
268,41,72,1800
996,14,79,2700
63,38,61,1500
254,30,53,200
614,26,69,2100
386,15,60,2600
225,5,72,4000
921,49,69,0
453,29,63,800
709,7,54,3100
884,19,61,2400
611,5,60,1500
196,4,63,0
231,9,51,2200
527,14,54,400
818,8,66,3800
270,23,74,1100
680,10,80,3700
66,50,72,3100
163,38,70,2700
451,1,65,1800
294,50,75,2200
45,31,51,3300
216,9,65,1800
61,38,55,2500
594,45,52,900
757,43,62,0
959,13,68,1900
248,19,66,2000
627,17,65,400
58,29,79,1400
421,43,76,0
324,48,75,2700
901,14,57,1500
807,39,65,1300
930,14,55,1000
19,28,63,200
710,29,51,1400
866,49,67,1300
252,17,64,1900
468,31,76,2700
30,30,71,3400
563,48,74,100
187,32,58,3100
268,31,76,100
751,1,55,2100
883,47,72,600
1007,51,50,3000
797,9,64,3100
875,5,58,800
322,37,64,400
915,21,74,2200
247,10,67,1000
994,41,78,1000
166,5,75,2800
160,13,55,300
691,43,54,100
985,29,60,500
579,24,70,3000
251,14,53,1000
197,36,53,900
391,30,75,4000
824,15,76,1800
62,38,66,900
340,35,78,2000
276,52,67,200
990,20,80,2000
24,27,78,700
559,12,51,3900
668,28,74,1200
199,6,51,3100
279,41,64,2400
842,23,71,2900
619,14,75,2000
953,21,56,300
227,19,60,3600
94,30,72,1400
759,52,71,800
163,11,69,4000
954,3,64,3800
991,29,60,2600
818,38,73,1600
295,33,57,2000
331,22,72,2500
52,44,75,2700
717,23,80,3300
29,38,57,3300
19,5,52,3600
969,11,75,0
910,32,55,2000
232,31,74,1300
261,20,65,2900
428,18,50,2000
530,25,65,2500
700,36,61,1000
220,32,65,1600
724,50,51,500
837,15,61,1900
723,37,60,1200
220,29,59,1800
683,36,55,1000
22,6,57,1600
970,33,65,3000
482,49,52,2600
916,15,61,3600
572,20,55,3100
586,44,52,3000
893,8,79,2000
847,50,79,2400
617,42,69,1700
859,33,50,3500
416,26,61,2600
932,16,51,3500
493,18,79,1500
475,52,61,1000
11,49,50,2000
357,7,66,900
932,7,55,4000
769,33,55,3900
887,2,73,400
828,4,66,1800
894,33,71,3000
209,38,51,400
162,22,54,2900
939,45,60,1200
1009,22,61,1700
392,44,53,700
138,43,79,3200
545,12,57,1600
36,14,61,1200
673,15,59,300
264,21,61,2900
590,26,63,2500
111,33,61,3700
502,20,58,1900
169,22,67,2100
478,27,60,600
835,52,64,300
651,52,55,2900
281,40,52,1200
388,38,73,1200
546,33,72,2500
659,28,75,500
57,15,66,100
72,31,61,600
850,29,56,2800
765,16,53,700
953,29,65,700
548,40,63,3400
943,15,65,1200
407,20,59,0
656,32,56,2600
863,44,75,3100
668,29,80,700
592,15,76,1000
341,6,67,1600
764,20,68,3600
815,8,61,2200
140,33,60,2000
595,48,63,3700
557,28,54,700
808,15,61,3300
726,14,54,2200
751,4,73,1500
498,14,62,2300
453,30,70,2900
787,43,68,2700
62,15,72,3100
413,34,75,2700
658,5,66,2900
695,14,70,3100
346,6,71,1000
39,45,51,2700
960,3,80,2000
540,31,62,3400
971,9,60,3400
783,39,64,400
707,17,54,3200
938,9,62,1400
771,47,60,3300
388,39,80,2900
817,38,50,1200
612,23,55,2200
183,12,51,500
574,5,65,4000
336,46,74,2100
275,5,80,4000
187,43,53,100
742,50,73,2100
583,29,80,2300
953,16,64,1600
643,15,70,700
848,21,75,600
87,43,79,3200
757,51,79,2900
554,44,63,1900
43,10,52,1600
464,6,66,2200
911,34,71,1100
794,24,61,2600
138,6,58,700
767,33,62,600
424,9,79,1400
985,5,54,1800
538,45,59,4000
549,27,70,3100
610,23,72,1600
461,40,59,900
59,39,73,2700
430,43,51,900
592,11,58,1400
456,39,58,100
317,48,60,3400
802,19,75,3400
915,9,60,300
929,18,50,1000
600,29,59,600
351,50,56,2000
337,32,75,800
441,9,71,100
839,23,65,2400
79,21,70,3100
24,21,61,1600
612,12,71,1700
735,18,51,500
508,15,59,0
24,16,76,3000
356,48,69,3200
86,49,53,400
237,4,76,2000
754,7,69,1300
604,8,73,1200
296,38,53,1100
483,29,51,2200
638,26,51,1100
251,41,64,3700
382,33,66,1500
579,19,76,1600
511,39,80,2500
307,9,73,1100
183,2,77,2600
628,38,64,3700
410,1,75,3400
251,5,60,0
479,23,78,3600
272,39,60,3500
865,21,50,2400
666,3,72,3300
636,50,64,1100
176,4,77,1100
717,3,52,100
846,25,55,600
51,21,72,2400
675,1,78,1200
516,47,54,3200
384,24,79,2600
439,24,52,3900
172,17,75,2600
894,6,74,3900
186,43,75,3800
542,49,60,1400
629,17,54,1400
300,21,65,2900
952,25,51,300
642,36,61,2800
381,49,79,3400
218,4,67,3600
269,52,74,3300
403,34,55,100
557,51,67,2200
305,18,63,1700
932,7,74,1700
44,42,50,4000
832,48,58,1100
121,2,54,1800
202,27,69,2800
535,6,75,500
408,6,75,900
748,4,66,2800
723,21,68,2600
876,33,58,2000
772,52,72,3400
722,1,50,300
315,19,66,900
520,52,66,3100
963,40,67,0
905,3,58,3400
409,20,76,1300
723,6,77,700
871,48,77,1600
72,1,74,2300
698,36,79,600
862,7,72,3900
771,51,64,2300
730,1,61,500
917,51,66,800
172,52,62,4000
15,39,62,1300
236,50,50,500
610,13,75,4000
367,44,69,2900
70,51,73,2500
58,17,53,1800
40,30,64,2500
405,3,59,2000
522,32,69,400
657,33,77,2400
358,19,63,3600
514,9,60,1100
256,44,54,3000
594,39,76,1900
905,22,67,2500
937,42,77,700
525,13,52,100
981,26,67,3900
834,32,69,1300
164,48,77,1400
257,39,69,3700
402,26,59,1100
396,50,64,2800
903,21,72,3400
350,16,70,2100
635,2,60,2400
609,40,75,3800
638,26,65,2100
618,28,54,2500
487,50,54,900
392,24,52,2600
209,43,69,3600
302,36,50,2700
966,19,70,4000
975,13,50,2300
336,50,60,1000
35,35,53,3900
498,37,60,1600
115,31,61,2000
422,8,68,1500
509,32,74,3400
91,7,80,3400
747,37,73,1200
77,29,63,2400
456,21,68,2400
188,42,70,3900
706,41,52,4000
929,48,51,2000
771,44,77,1800
720,40,57,2900
921,14,75,1400
71,19,60,3100
788,23,72,200
666,39,72,1400
173,28,53,3100
846,11,74,2000
134,34,53,1100
224,9,77,600
503,42,79,3900
216,44,53,3600
473,15,55,3000
231,8,56,900
11,26,55,2000
659,35,55,2800
92,15,75,1800
212,16,77,1600
455,5,61,1900
481,39,61,4000
312,33,50,2600
108,15,52,3500
282,48,51,600
229,11,75,1600
751,51,57,1200
434,7,59,3900
254,23,52,3100
807,37,59,1600
808,6,78,3000
162,51,80,100
641,19,75,3200
34,34,65,4000
922,17,52,3700
795,10,68,1000
731,11,67,3100
857,42,62,800
909,13,79,300
705,41,78,3000
891,10,70,900
351,46,62,100
183,51,70,4000
434,44,72,1000
575,5,72,1200
169,48,56,3700
481,45,57,200
985,27,50,3200
451,37,61,2500
927,21,54,1100
586,2,73,1900
473,7,54,200
167,12,77,200
829,28,58,3200
632,17,69,0
525,16,52,2500
909,31,79,3900
310,37,53,2100
766,3,67,2600
536,6,62,400
250,7,79,0
888,30,59,1700
368,9,59,2900
919,25,59,500
384,17,74,2800
653,36,75,2600
272,41,65,900
170,3,64,3600
334,41,73,2600
569,46,63,2800
999,14,62,300
334,26,56,3900
521,36,64,300
427,40,66,900
539,18,64,2800
356,7,63,2900
525,52,76,900
545,30,54,3500
640,50,59,400
990,48,79,2100
599,19,63,300
652,26,51,2900
115,36,51,300
875,32,75,200
473,47,63,900
813,41,75,400
815,1,62,3800
619,28,78,600
686,31,54,0
379,32,74,2100
922,1,66,3500
821,48,77,1700
817,43,65,200
902,2,73,2300
669,6,76,1000
651,45,79,3900
408,43,59,1200
683,14,72,700
11,16,73,3300
839,37,77,700
214,1,72,2400
805,27,65,2000
111,21,52,1200
456,42,64,1600
729,43,77,0
266,15,72,3700
760,26,74,3000
788,51,67,3400
744,12,80,3200
374,16,66,100
116,1,71,200
909,17,50,1900
577,3,79,2700
605,27,61,1800
809,3,56,2500
872,42,63,1300
414,47,67,3400
1008,4,55,2900
131,8,61,2900
812,45,70,3000
755,27,53,4000
214,1,69,2400
883,17,78,2100
572,9,63,3100
574,25,54,3200
581,2,52,1700
421,12,55,3800
739,31,72,4000
625,9,62,800
840,1,54,100
765,19,57,800
226,9,74,2400
831,11,74,1500
302,45,62,0
252,15,50,1700
588,15,54,3400
250,46,67,500
492,48,77,500
740,35,71,700
356,25,80,2900
322,3,75,2300
752,37,77,4000
538,19,54,4000
335,22,75,3400
46,25,69,3800
26,30,55,1500
182,32,61,1700
439,9,67,3100
516,14,56,100
996,45,78,2100
543,5,65,2900
103,25,64,3300
402,32,67,500
184,36,64,1700
49,23,60,700
971,43,80,1100
920,45,80,1200
52,39,75,700
634,29,68,3500
259,22,68,100
678,2,69,2800
967,2,53,2200
789,30,80,1000
557,12,72,300
185,30,61,2800
63,52,53,3900
874,6,50,400
105,18,72,1100
475,43,58,2100
755,45,62,2900
920,14,77,1400
28,22,50,2400
896,4,78,1800
845,39,71,1400
525,52,78,2500
703,3,51,3800
806,3,60,0
926,24,62,500
227,10,80,1100
803,1,65,400
812,32,56,0
42,37,59,3400
947,36,52,4000
284,2,51,700
834,42,68,2900
181,29,53,400
203,16,70,3400
474,27,67,1300
848,16,64,2300
607,21,75,1200
782,32,72,1300
638,15,72,1200
973,33,50,1100
435,12,51,1900
403,18,51,2700
549,8,60,700
148,14,73,3300
334,20,68,1200
547,15,63,2500
279,29,75,1900
930,5,64,2200
554,47,66,1200
81,37,51,1600
244,8,51,1600
64,32,72,2400
901,34,73,200
16,28,51,3700
871,13,57,1600
450,4,60,900
882,5,62,1100
753,16,62,3900
939,43,52,3900
169,17,50,1700
100,49,54,2200
682,35,78,500
255,44,60,400
58,41,74,4000
174,9,60,2400
890,12,53,2500
899,31,53,1200
104,13,77,600
877,38,67,3200
615,2,62,1900
793,6,80,2600
484,20,73,300
267,9,56,300
654,31,57,300
787,34,63,800
161,3,79,1700
593,40,52,300
544,38,68,1800
763,52,60,600
551,34,54,2000
479,34,80,1000
592,14,77,4000
612,41,57,2900
892,10,53,200
527,44,80,300
338,11,59,2800
52,29,50,1300
241,8,58,3300
106,16,79,400
736,35,64,2100
172,31,68,1900
672,15,74,3300
169,14,71,1200
138,15,76,300
114,48,58,1700
836,48,66,1800
347,6,69,3700
61,17,70,3700
361,23,56,2100
898,4,54,3400
236,26,57,2000
262,35,65,1700
765,24,73,2500
531,48,78,3400
53,5,70,2300
940,46,66,1100
379,5,63,1500
587,37,70,1300
662,30,54,4000
67,34,78,3300
736,34,75,0
148,17,60,1900
355,38,66,3100
630,39,75,1800
311,15,67,1400
323,29,50,3700
567,21,66,3500
72,16,75,2800
466,6,57,4000
629,16,52,1800
542,34,60,4000
375,24,51,600
223,26,70,1400
636,28,77,1300
301,36,50,3100
298,48,73,900
778,10,52,300
170,34,69,2000
968,35,63,3300
416,3,64,3000
1001,6,62,2800
573,18,69,2000
943,1,71,3200
959,40,78,3600
214,21,53,1600
358,9,75,3700
956,26,74,3400
89,43,66,2300
784,26,56,0
765,43,78,1600
687,24,59,3200
844,35,62,0
852,29,51,1300
372,49,74,3300
338,50,50,2500
673,48,69,1700
979,42,57,200
163,17,71,3600
509,15,72,2200
347,20,69,1600
216,37,67,3600
193,42,70,1100
685,40,76,600
337,37,76,700
849,41,61,100
576,41,77,800
215,46,62,3000
705,35,50,200
493,36,73,3200
568,40,57,1500
53,1,76,3100
377,15,57,2600
540,30,73,2200
639,26,75,3800
28,3,73,2800
460,35,64,2500
332,22,56,400
467,38,66,3000
24,35,57,1100
436,18,60,2600
190,34,65,300
318,48,58,1500
745,15,59,3700
724,45,67,2900
348,4,72,1800
594,51,55,3600
334,23,65,3200
830,6,68,3000
989,7,73,100
996,32,59,600
442,10,50,3600
449,43,69,1600
25,3,73,300
910,49,53,1200
252,40,66,2200
969,8,59,300
223,20,69,500
966,40,50,1800
72,18,57,2300
118,38,67,3100
174,24,75,700
496,7,80,3100
727,7,78,1100
532,2,70,1200
814,15,58,3400
137,27,67,2900
432,7,70,600
961,35,66,3200
920,17,75,3100
994,3,61,2200
730,49,74,3500
16,22,62,2300
590,39,64,2800
866,17,80,400
830,18,51,1600
35,14,70,600
1005,6,68,1300
990,34,54,3800
901,21,67,4000
54,11,55,1500
826,23,73,600
819,10,79,2100
430,15,57,1400
470,15,59,2300
336,50,78,1900
620,52,59,1100
262,39,78,1000
818,1,60,3400
555,26,60,200
93,24,70,3000
696,50,57,3900
749,47,72,1500
591,17,63,1400
744,18,70,2200
464,14,56,1700
967,11,77,3900
745,48,79,1700
425,52,79,1600
151,14,75,3100
216,31,50,2900
990,16,79,200
490,34,74,3000
322,20,53,3300
598,52,75,3700
402,17,80,800
83,1,71,400
548,15,70,1800
269,7,75,1900
402,37,67,4000
847,37,79,3900
1009,15,71,2100
117,33,77,1700
157,37,64,800
412,22,72,1600
395,49,61,3400
408,44,72,2700
681,23,52,1100
74,28,58,1300
642,10,62,3800
405,44,79,2000
658,26,77,3900
577,50,63,500
500,13,57,500
980,29,75,1900
151,7,56,3800
49,33,70,2600
535,24,67,1600
741,45,65,3900
974,27,65,3200
366,7,68,2900
924,26,69,2100
700,21,76,900
806,9,54,1900
706,9,76,1000
981,27,75,1600
315,36,79,4000
804,45,51,4000
449,50,75,2000
983,13,78,700
